COMMON_NAME;Molecule (RDKit Mol) (Fingerprint) (Bin);Atom count;Bond count;SlogP;SMR;TPSA;ExactMW;NumLipinskiHBA;NumLipinskiHBD;NumRotatableBonds;NumHBA;NumAmideBonds;NumHeteroAtoms;NumUnspecifiedStereocenters;NumRings;NumAromaticCarbocycles;NumSaturatedCarbocycles
Bivalirudin;0000101000000000000000000001000100000000110000100000000000000000000010100000000000000000100000001100000000000000000000000000000001100000100000000000111000000000000000100001001000000000001000001000001010010000000000001000000010000000000001000000000000000000000000101000010000000010000010010000110001000000000000100001000000000000100010100000000100000000000010010000000000000100000000000000000000000001100000000000000000000001000001010000000000000100001000000000000000000000100000000001000000001000000000010000000001000100000000000000000100000000000000000000000000000101000000000100000000000000000010000000000100000010000000000100000000100000000000010000001000000000000101000000000000000000000000000000000000000000010000000010000001000010000010000000000000100100100000000000000000000100000000000000000000000000000000000000000000100010000000000000000010100000000000000000000000001000100100000000000100000000001000000001000000000000010000000100100110000000000000010000000000000000000001100000001000000000000000000000000000010010;155;160;-8.11642999999994;539.8094000000016;901.5700000000002;2178.9858128759984;57;31;66;29;20;57;0;6;3;0
Leuprolide;0000100000000000000000000000000100000010110000000000000000000000000000000000010000000000100010001100000000000010000000000000000001100000100000000000000000000000000000101001001000000010001000000000000010000000000000001100000000000000000000000000000000000000000000001000010000000010000010010100010001010000000001100001000001000000000000100000000100000000000010010010000000000101000000000000000000000011100000000000001000000001000000010000000010000100101000000000000000000000101000000000000000001000000000000000000000000000000000000000000100000100000000000000000000000111000000000100000000000000000110000000000000000010000000000000000000000000000001000000001000010100000101000000000000000000001000010010000000000100010000100010000001000010000010000000000000000000000000000000000000000100000000001000000001000000000000000000000000100010000000000000000010000000000000000000000010001000000100000001000100000010101000000001000000000000000001000100001110000000000000010000000000000000000000000000001000000000000000000000000000010010;87;92;-1.228430000000014;319.35010000000057;429.04;1208.6454621280002;28;17;32;14;10;28;0;6;2;0
Goserelin;0000100000000000000000000000000100000010010101000010000000001000000000000000010000000000100000001100000001000010000000000100000000110000100001000000000000001000000000101000001000000010001010000000000010000000000000001100000001000000000000000000000000000000010000001000010000000010000010010000010001100001000001100000000000000000100000100000000100000000000000000010000010000101000000000000000000000001000000000000000000000000000000010000000010001100001000000000000000000000101000000000000000001000000000000000000010010001010000000000000100000100000000000000000000000111000000010100000000000000000000000000000000000010000000000000000100000000000001000000001000010100000101001000000000000000001000010010000000010100010000000010000000000010000010000000000000000000000000000000000000000100000000001000000001000000001000000000000000000010000100000000000010000000000000000000000010001001000100000001000100000000111001000001000000000000010001000100001110000000000000010000000000000000000000000000001000000000000000000000000000010010;91;96;-3.105700000000015;328.538200000001;495.8899999999997;1268.6414393680004;32;20;31;16;12;32;0;6;2;0
Gramicidin D;0000000010000000000100000000000100100000000000000000000000000000000000000000010000000000000100000000000000000010100000000000000000100000000000000000100000000000000000001000001000000000000000000000000010000000000000001110000000000000000000000000000000000000000000001000000000100000000000010000000001001000000000000000000000000000010010000000000100000000000010000000000000000101000000000000000000000000000000000000010000000000100000010000000010000000001000000000000000000000101000000000000000000000000000000000000000001100000000000000000100000000000000110000000000000100000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000010000000100000000000000000000001000010010000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000001000000000000000000000000100000000000000000000010100100000000000000000000000000000000000000000100000000101000000000000000000000010001000100000110000000000000010000000000000000000000100000001000000000000000000000000000000010;131;138;4.86759999999998;500.11810000000145;519.8899999999996;1810.033419239999;35;20;51;16;15;35;0;8;4;0
Desmopressin;0000100000000000000100000000000000000000100000000000000000000000001000000000000000000000100000000100000000000100000000000000100001100000100000000000010000000000000000000001001001000010001000010001000000000000000000001001000001000000001000000000000000000000100000000000010000000010000010010000010001000000000001000001000000000000000000100001000000001000000010100000000000000100000000000000000000000101100000010000000000000000001001000000000000000100001000000000000010000000100000100001000000001000000000000000000010000000100000000000000000000000010000000000010000000101000000000100000000001001000010000000000100000000000001000000000100100000000000000000001000000100000111000000000000000000000000000000000000000100010000000010000000000010000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000100010000000000000000010100000000000000000000000001000100100000000000100000000001010000000000000000000000001000000000100000000000000010000000000100000000001000000000000000000000000000000010000010010;74;77;-4.132030000000018;271.4036999999998;435.40999999999985;1068.426955488;26;18;19;15;11;28;0;4;2;0
Cetrorelix;0000101000000000000000000000000100100000110000000000000001000000000000000000000000000000100000001100000000000000000000000000000001100000100000000000100000000000000000100001001000000101000000001000000010000001000000001000000001000000000000000000000000000000000000001000010000000010000010010000010001000000000000000001000000000000000000100000000100000000000010000000100000000100001000000000000000000001100000000000000000000000010001010000000000001100001000000000011000000000000000000000000010001000000000000000000010000000010000010000000100000100000000000000000000000101000000000100000000100000000010000000010000000010000000000000000000000000000001000000001000001000000101000000000000000000000000000000010000000000010000000010000000000010000010010000000000000000000000000000000000100100000010000000000001000001000000000000100000100010000100000000000010000000000000000000000010001000100100000000000100000000001000000001000000000000000000000100001110000000000000011000000000000000010001000000001000000001000010000000000000010010;102;107;-0.5061300000000097;377.72520000000065;495.66999999999985;1429.6698183039998;31;20;38;16;13;32;0;6;4;0
Vasopressin;0000100000000000000100000000000000000000001101000000000000000000001000000000000000000000100000000100000000000000000000000100100000100000100000000000010000000000000000000000001001000000001000010001000000000001000000011001000001000000000000000000000000000000100000000000010000000010000010010000010001100001000000000000000000000000000000100000000000001000000000100000000000000100000000000000000000000101000000010000000000000000001001000000100000000100001000000000000010000000100000100001000000001000000000000000000010000000100000000010000001000000010000010000000000000101000000000100000000001001000000000000000100000000000001000000000100100000000000000000001000000100000111001000000000000000000000000000000000000100010000000010000000000010000000000000000000000000000010000010000000000100000000000000000000000000000000000000000000100010000000000000000010100000000000000000000000001001100100000000000100000000001010000000000000000000000001000000000100000000000000010000010000000000000001000000000000000010000000000000010000010010;148;154;-9.733599999999912;544.0388000000022;889.4799999999994;2138.8695610399973;52;38;38;32;22;56;16;8;4;0
Daptomycin;0000100000000010010100100101000100000001001000000000000010000000000001100010010000100000000000000100000000000010010000000000000010100000100000000000110000000001000001001000001000000100000000010000000000000001000000001100000000000100000000000000000000000000000000001100000001000000000000010000000101000100000010100000000000000010010000000001000000000000001000100000000100000101000000000000000000000000000000000000000000000000000000011000001010000000001000000000000000000000101000000001100000000000000000001000000000000000100000000111000000000100000000000000000000000000000000000000000100001010000000001001000000000000000000000000000000101000000000010000000000010000000110000000000000000000001000010010000000000100000001000010000001000000001010000000000000000100101000000000010000001000000000100000000001000000000000000000100000000000000000000000000010000010000000000000000000001000000100000000010100000000101010000000000000100000000001000100000110000000000000010000000000000000100000100000001000000000000000000000010000000010;115;118;-5.621799999999954;400.26050000000066;702.0200000000002;1619.7103663520002;43;25;35;24;14;43;0;4;2;0
Cyclosporine;0000100000000000000000000000000000000001000000000000000000000000000000000000000000000000110000000100010010000000000000000000000000100000000000000100000000000000000000000000000000010000000000000000010010000000000000001000000001000000000000000000000000000000000000100000000000100000100000000000000000100000000000000000000000000000010000000010000000001000001000100000000100000100000000000100000000000000000000000000000000000000000100000010000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000001000000000100000100001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000100000010000000000000100100000000000000000100000000000010000101000000001010000000000000100000000000000010010000000000000000000000100000001000000000010000000001000000000001000000000000000000010000000000000000000000000000000011000001000010000010000000000000100000010001000000000100000000000000000000000000000000100000000100001000000000000010000000010000100010;85;85;3.2690000000000046;328.4446000000003;278.79999999999995;1201.841367992;23;5;15;12;11;23;0;1;0;0
Abarelix;0000101000000000010000000000000100100000010000000000000001000000000000100000000000000000100000001100000000000000000000000000001000100000100000100000110000000000000000100000001000000101000000001000000010000001000000001000000101000000000010000100010000000000000000001000010000000010000010010000010001000000000000000000000000000000000000100000000100000000000010000000100000000100001000000000000000000001000000000000000000000000010000010000000000001100001000000000011000000001000000000000000010001000100000000000000110000000000000000000000100000100000000000000000000010101000000000100000000100000000000000000010000000010000000000000000000000000000001010100001000001000000101000000000000000000000000000000010000000000010010000010000000000010000010010000000000000100100010000000000000100100000010000000000001000101000000000000100000000010000100000000000010000000000000000000000010001000100110000000000100000000001000000001000000000000000000000100000110000000000000011000000000000000010001000000001000000000000010000000000000010010;101;106;1.167999999999988;377.1827000000008;424.9799999999999;1414.6840713999995;28;15;38;16;12;29;0;6;4;0
